Jak należy stosować Entil oparzenia?;bez kontekstu
Jakie są skutki topnienia lodowców dla ekosystemów?;bez kontekstu
Jaka jest rola lekarza onkologa w leczeniu metotreksatem?;bez kontekstu
Jak leczyć płaskostopie?;bez kontekstu
Jak duża jest luka kadrowa w branży IT w Polsce?;bez kontekstu
Jakie są zalecenia leczenia złamania wyrostka łokciowego?;bez kontekstu
Jakie są objawy zespołu Cogana w układzie wzrokowym?;bez kontekstu
Jakie są wskazania do zakończenia AIT?;kontekst
Jakie są Twoje plany na przyszłość związane z nauką i dzieleniem się wiedzą z innymi?;bez kontekstu
Jakie są konsekwencje różnic w podmiotach uprawnionych do wydawania orzeczeń lekarskich w tych dwóch kontekstach?;kontekst
Gdzie Dariusz Popławski pracował jako dyplomata?;bez kontekstu
Jakie są inne znaczące projekty Elżbiety Jabłońskiej?;kontekst
Co oznacza frazeologizm 'rzucić okiem' w kontekście zapraszania czytelników do zapoznania się z poradnikami i listami trofeów?;kontekst
Jakie emocje towarzyszą bohaterce artykułu podczas rozmowy z księdzem?;kontekst
Na jakich uczelniach Leon Tadeusz Błażczyk studiował filologię klasyczną i muzykologię?;bez kontekstu
Jakie były jej przekonania i filozofia życia?;kontekst
Jakie wskazówki dotyczące uzupełniania tabelki i wykonywania działań matematycznych zostały podane w artykule?;kontekst
Jakie sceny były przedstawione na malowidłach wewnątrz kościoła?;kontekst
Kiedy nastąpiła reaktywacja zespołu i pod jaką nazwą?;kontekst
Kiedy Maria Szeliga zakończyła karierę sportową?;bez kontekstu
Jaki jest poziom wykształcenia mieszkańców Charnowa?;bez kontekstu
Co to były gromady w Polsce Ludowej i jakie miały znaczenie?;bez kontekstu
Gdzie ma swoje źródło Malinówka i jak przebiega jej bieg?;bez kontekstu
Jakie były jego osiągnięcia w dziedzinie aerodynamiki szybkości naddźwiękowych?;kontekst
Jakie są inne przykłady zależności międzygatunkowych w świecie przyrody?;kontekst
Kim był Edward Franciszek Duniewicz i jakie były jego główne osiągnięcia?;bez kontekstu
Kim był Makary Jewłaszewski i jaką rolę odegrał w historii Kościoła prawosławnego na ziemiach polskich?;bez kontekstu
Kiedy został założony LKS Poroniec Poronin?;bez kontekstu
Jaki jest najwyższy wodospad na świecie?;bez kontekstu
Ile planet znajduje się w Układzie Słonecznym?;bez kontekstu
Kto jest autorem teorii względności?;bez kontekstu
Jakie jest największe jezioro w Polsce?;bez kontekstu
Kiedy wynaleziono druk?;bez kontekstu
Jak nazywa się stolica Kanady?;bez kontekstu
Jaki pierwiastek chemiczny ma symbol „O”?;bez kontekstu
Kto namalował „Mona Lisę”?;bez kontekstu
Ile sekund ma jedna doba?;bez kontekstu
Jaki jest największy ocean na Ziemi?;bez kontekstu
W którym roku odbyły się pierwsze nowożytne igrzyska olimpijskie?;bez kontekstu
Kto był pierwszym człowiekiem w kosmosie?;bez kontekstu
Jaką jednostką mierzy się ciśnienie atmosferyczne?;bez kontekstu
Jaki jest język urzędowy w Brazylii?;bez kontekstu
Ile nóg ma pająk?;bez kontekstu
Jaki jest najwyższy szczyt w Tatrach?;bez kontekstu
Które państwo jest największe pod względem powierzchni?;bez kontekstu
Jakie jest najpopularniejsze źródło witaminy C?;bez kontekstu
Ile wynosi temperatura wrzenia wody w skali Celsjusza?;bez kontekstu
Kto napisał „Pana Tadeusza”?;bez kontekstu
Jakie jest najdłuższe zwierzę na Ziemi?;bez kontekstu
Ile dni ma rok przestępny?;bez kontekstu
Który kontynent jest najmniejszy pod względem powierzchni?;bez kontekstu
Jak nazywa się największa pustynia na świecie?;bez kontekstu
Kto był pierwszym prezydentem Stanów Zjednoczonych?;bez kontekstu
Jaką literą oznacza się w fizyce prędkość światła?;bez kontekstu
Jakie miasto jest stolicą Australii?;bez kontekstu
Jak nazywa się proces zamiany wody w parę?;bez kontekstu
Jaki gaz jest niezbędny do oddychania ludzi?;bez kontekstu
Ile godzin ma tydzień?;bez kontekstu
Który kraj ma najwięcej mieszkańców na świecie?;bez kontekstu
Jak nazywa się największa wyspa na świecie?;bez kontekstu
W jakiej skali mierzy się siłę trzęsień ziemi?;bez kontekstu
Kto jest autorem „Małego Księcia”?;bez kontekstu
Jakie jest najgłębsze jezioro na świecie?;bez kontekstu
Jaki jest symbol chemiczny złota?;bez kontekstu
Jak nazywa się największy ssak na Ziemi?;bez kontekstu
Które państwo jako jedyne leży na dwóch kontynentach – w Europie i Azji – i ma stolicę w Europie?;bez kontekstu
Jak nazywa się proces przekształcania energii słonecznej w energię chemiczną przez rośliny?;bez kontekstu
Ile wynosi liczba π w przybliżeniu do dwóch miejsc po przecinku?;bez kontekstu
Jak nazywa się najdłuższa rzeka w Afryce?;bez kontekstu
Ile kół ma rower?;bez kontekstu
Jakie jest najstarsze miasto w Polsce?;bez kontekstu
Kto wymyślił żarówkę?;bez kontekstu
W jakim mieście znajduje się Wieża Eiffla?;bez kontekstu
Jakie jest największe państwo w Ameryce Południowej?;bez kontekstu
Jaki kolor powstaje po zmieszaniu niebieskiego i żółtego?;bez kontekstu
Ile minut ma godzina?;bez kontekstu
Jak nazywa się największy półwysep na świecie?;bez kontekstu
Jakie zwierzę jest symbolem Australii?;bez kontekstu
W którym roku Polska wstąpiła do Unii Europejskiej?;bez kontekstu
Kto był pierwszym papieżem w historii?;bez kontekstu
Jak nazywa się najmniejsza kość w ludzkim ciele?;bez kontekstu
Jak nazywa się największy stan w USA?;bez kontekstu
Która planeta w Układzie Słonecznym jest najbliżej Słońca?;bez kontekstu
Jakie jest najpopularniejsze warzywo w Polsce?;bez kontekstu
W jakiej walucie płaci się w Japonii?;bez kontekstu
Które miasto jest stolicą Włoch?;bez kontekstu
Jak nazywa się największa ryba na świecie?;bez kontekstu
Jak nazywa się nauka o mapach?;bez kontekstu
Ile godzin trwa doba na Ziemi?;bez kontekstu
Jakie jest najwyżej położone miasto w Polsce?;bez kontekstu
Które morze jest najbardziej zasolone na świecie?;bez kontekstu
Jak nazywa się największy organ w ciele człowieka?;bez kontekstu
Jakie są trzy podstawowe kolory?;bez kontekstu
W jakim kraju powstał balet?;bez kontekstu
Jakie jest oficjalne językowe motto Unii Europejskiej?;bez kontekstu
Jak nazywa się największy wulkan na Ziemi?;bez kontekstu
Kto był pierwszym człowiekiem na Księżycu?;bez kontekstu
W jakiej jednostce mierzy się moc silnika samochodowego?;bez kontekstu
Jak nazywa się stolica Hiszpanii?;bez kontekstu
Jakie zwierzę wydaje odgłos „muu”?;bez kontekstu
Ile boków ma kwadrat?;bez kontekstu
Jak nazywa się największy kontynent?;bez kontekstu
Kto wynalazł telefon?;bez kontekstu
W jakim kraju znajduje się Machu Picchu?;bez kontekstu
Jakie jest najczęściej występujące nazwisko w Polsce?;bez kontekstu
Ile dni ma luty w roku przestępnym?;bez kontekstu
Jakie jest największe państwo w Afryce?;bez kontekstu
Jakie jest ciśnienie atmosferyczne na poziomie morza w hektopaskalach?;bez kontekstu
Kto napisał „Quo Vadis”?;bez kontekstu
Jak nazywa się najszybsze zwierzę lądowe?;bez kontekstu
Jaki pierwiastek ma symbol „Na”?;bez kontekstu
W jakim kraju znajduje się Taj Mahal?;bez kontekstu
Jakie jest największe jezioro Afryki?;bez kontekstu
Jak nazywa się tradycyjna japońska zupa na bazie bulionu?;bez kontekstu
Ile stopni ma kąt prosty?;bez kontekstu
Jakie jest największe miasto w Polsce pod względem ludności?;bez kontekstu
W jakim mieście odbyły się Letnie Igrzyska Olimpijskie w 2012 roku?;bez kontekstu
Jak nazywa się waluta używana w Wielkiej Brytanii?;bez kontekstu
Jakie jest największe państwo wyspiarskie na świecie?;bez kontekstu
Jak nazywa się proces topnienia lodu?;bez kontekstu
Kto był pierwszą kobietą w kosmosie?;bez kontekstu
Jakie są cztery pory roku?;bez kontekstu
Jakie jest największe państwo w Europie?;bez kontekstu
Kto namalował „Gwiezdną noc”?;bez kontekstu
Ile nóg ma krab?;bez kontekstu
Jak nazywa się stolica Niemiec?;bez kontekstu
Jak nazywa się najdłuższa rzeka w Polsce?;bez kontekstu
Jak nazywa się stolica Norwegii?;bez kontekstu
Jakie są zalecenia leczenia złamania wyrostka łokciowego?;bez kontekstu
Ile jezior znajduje się na terenie gminy Gietrzwałd?;bez kontekstu
Jakie były zadania duszpasterskie biskupa Siemieniewskiego?;bez kontekstu
Kiedy Helena Eilstein powróciła do Polski?;bez kontekstu
Co opisuje monolog w raporcie i w jakim kontekście został on przedstawiony?;kontekst
Jakie były najważniejsze audycje radiowe prowadzone przez Jerzego Kordowicza?;bez kontekstu
Jakie są najważniejsze osiągnięcia Agnieszki Pruskiej w jej karierze literackiej?;bez kontekstu
Jak autor porównuje swój model do innych prezentowanych w internecie i jakie ma plany na przyszłość?;kontekst
Jakie obszary obejmowała Gromada Chodkowo Wielkie?;bez kontekstu
"Jak kończy się powieść ""Ojciec Goriot""?";kontekst
Jakie działania podejmuje sołtys, aby zdobyć Kasię?;kontekst
W jakich czasopismach ukazywały się wiersze, opowiadania i artykuły Franciszka Becińskiego?;bez kontekstu
W jaki sposób poeta, według artykułu, tworzy artystyczny obraz otwierający człowieka na świat jako jedność w różnorodności?;kontekst
Jakie wydarzenie opisuje Jenny swoim przyjaciołom?;kontekst
Jak zakończyła się kariera samorządowa Andrzeja Szlązaka?;bez kontekstu
Jak wygląda klimat w Garlicy Murowanej?;bez kontekstu
